timestamp,Wine Cellar Cooler 1,Wine Cellar Cooler 2,Wine Cellar AC 1,Wine Cellar AC 2
2017-12-08T05:45:00,203.22,133.81,2.25,2.51
2017-12-08T06:00:00,192.74,135.16,2.28,2.44
2017-12-08T06:15:00,14.29,136.51,2.3,2.34
2017-12-08T06:30:00,193.34,135.07,2.26,2.18
2017-12-08T06:45:00,189.82,134.82,2.28,2.42
2017-12-08T07:00:00,190.99,134.45,2.27,2.4
2017-12-08T07:15:00,70.88,133.91,2.25,2.39
2017-12-08T07:30:00,127.71,134.65,2.26,2.46
2017-12-08T07:45:00,194.31,133.69,2.24,2.45
2017-12-08T08:00:00,180.96,533.98,2.21,2.26
2017-12-08T08:15:00,14.27,926.65,2.25,2.5
2017-12-08T08:30:00,14.25,921.37,2.22,2.5
2017-12-08T08:45:00,28.9,921.14,2.25,2.53
2017-12-08T09:00:00,98.42,193.83,2.26,2.51
2017-12-08T09:15:00,101.33,50.43,2.24,2.43
2017-12-08T09:30:00,261.67,63.6,2.2,2.21
2017-12-08T09:45:00,14.01,50.73,2.24,2.42
2017-12-08T10:00:00,211.09,69.74,2.25,2.5
2017-12-08T10:15:00,43.74,260.92,1.82,1.73
2017-12-08T10:30:00,45.25,944.96,1.45,1.05
2017-12-08T10:45:00,100.96,237.18,1.46,1.06
2017-12-08T11:00:00,271.19,63.14,1.45,0.79
2017-12-08T11:15:00,18.4,49.89,1.76,1.42
2017-12-08T11:30:00,129.52,75.84,2.21,2.35
2017-12-08T11:45:00,149.08,143.23,2.21,2.35
2017-12-08T12:00:00,38.75,949.51,2.2,2.33
2017-12-08T12:15:00,101.46,354.97,46.21,6.21
2017-12-08T12:30:00,127.89,51,13.63,107.04
2017-12-08T12:45:00,156.55,50.64,12.62,27.16
2017-12-08T13:00:00,14.19,578.91,12.57,27.13
2017-12-08T13:15:00,14.41,942.7,12.6,27.11
2017-12-08T13:30:00,61.59,621.22,57.8,27.07
2017-12-08T13:45:00,101.53,50.74,0.2,1.65
2017-12-08T14:00:00,283.7,60.43,2.25,2.27
2017-12-08T14:15:00,18.01,50.18,2.27,2.47
2017-12-08T14:30:00,20.6,136.66,2.28,2.54
2017-12-08T14:45:00,101.19,759.05,2.28,2.52
2017-12-08T15:00:00,297.73,51.05,2.28,2.53
2017-12-08T15:15:00,132.91,73.31,58.47,106.01
2017-12-08T15:30:00,168.78,948.06,13.45,28.52
2017-12-08T15:45:00,61.57,823.6,12.63,27.22
2017-12-08T16:00:00,101.34,50.38,60.73,27.1
